ProductKey,Product,Subcategory,Category,Model,Cost ,Color,Price
210,"HL Road Frame - Black, 58",Road Frames,Components,HL Road Frame,868.63,Black,NULL
211,"HL Road Frame - Red, 58",Road Frames,Components,HL Road Frame,868.63,Red,NULL
212,"Sport-100 Helmet, Red",Helmets,Accessories,Sport-100,12.03,Red,33.64
213,"Sport-100 Helmet, Red",Helmets,Accessories,Sport-100,13.88,Red,33.64
214,"Sport-100 Helmet, Red",Helmets,Accessories,Sport-100,13.09,Red,34.99
215,"Sport-100 Helmet, Black",Helmets,Accessories,Sport-100,12.03,Black,33.64
216,"Sport-100 Helmet, Black",Helmets,Accessories,Sport-100,13.88,Black,33.64
217,"Sport-100 Helmet, Black",Helmets,Accessories,Sport-100,13.09,Black,34.99
218,"Mountain Bike Socks, M",Socks,Clothing,Mountain Bike Socks,3.40,White,9.50
219,"Mountain Bike Socks, L",Socks,Clothing,Mountain Bike Socks,3.40,White,9.50
220,"Sport-100 Helmet, Blue",Helmets,Accessories,Sport-100,12.03,Blue,33.64
221,"Sport-100 Helmet, Blue",Helmets,Accessories,Sport-100,13.88,Blue,33.64
222,"Sport-100 Helmet, Blue",Helmets,Accessories,Sport-100,13.09,Blue,34.99
223,AWC Logo Cap,Caps,Clothing,Cycling Cap,5.71,Multi,8.64
224,AWC Logo Cap,Caps,Clothing,Cycling Cap,5.23,Multi,8.64
225,AWC Logo Cap,Caps,Clothing,Cycling Cap,6.92,Multi,8.99
226,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Long-Sleeve Logo Jersey,31.72,Multi,48.07
227,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Long-Sleeve Logo Jersey,29.08,Multi,48.07
228,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Long-Sleeve Logo Jersey,38.49,Multi,49.99
229,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Long-Sleeve Logo Jersey,31.72,Multi,48.07
230,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Long-Sleeve Logo Jersey,29.08,Multi,48.07
231,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Long-Sleeve Logo Jersey,38.49,Multi,49.99
232,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Long-Sleeve Logo Jersey,31.72,Multi,48.07
233,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Long-Sleeve Logo Jersey,29.08,Multi,48.07
234,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Long-Sleeve Logo Jersey,38.49,Multi,49.99
235,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Long-Sleeve Logo Jersey,31.72,Multi,48.07
236,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Long-Sleeve Logo Jersey,29.08,Multi,48.07
237,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Long-Sleeve Logo Jersey,38.49,Multi,49.99
238,"HL Road Frame - Red, 62",Road Frames,Components,HL Road Frame,747.97,Red,1263.46
239,"HL Road Frame - Red, 62",Road Frames,Components,HL Road Frame,722.26,Red,1301.36
240,"HL Road Frame - Red, 62",Road Frames,Components,HL Road Frame,868.63,Red,1431.50
241,"HL Road Frame - Red, 44",Road Frames,Components,HL Road Frame,747.97,Red,1263.46
242,"HL Road Frame - Red, 44",Road Frames,Components,HL Road Frame,722.26,Red,1301.36
243,"HL Road Frame - Red, 44",Road Frames,Components,HL Road Frame,868.63,Red,1431.50
244,"HL Road Frame - Red, 48",Road Frames,Components,HL Road Frame,747.97,Red,1263.46
245,"HL Road Frame - Red, 48",Road Frames,Components,HL Road Frame,722.26,Red,1301.36
246,"HL Road Frame - Red, 48",Road Frames,Components,HL Road Frame,868.63,Red,1431.50
247,"HL Road Frame - Red, 52",Road Frames,Components,HL Road Frame,747.97,Red,1263.46
248,"HL Road Frame - Red, 52",Road Frames,Components,HL Road Frame,722.26,Red,1301.36
249,"HL Road Frame - Red, 52",Road Frames,Components,HL Road Frame,868.63,Red,1431.50
250,"HL Road Frame - Red, 56",Road Frames,Components,HL Road Frame,747.97,Red,1263.46
251,"HL Road Frame - Red, 56",Road Frames,Components,HL Road Frame,722.26,Red,1301.36
252,"HL Road Frame - Red, 56",Road Frames,Components,HL Road Frame,868.63,Red,1431.50
253,"LL Road Frame - Black, 58",Road Frames,Components,LL Road Frame,176.20,Black,297.63
254,"LL Road Frame - Black, 58",Road Frames,Components,LL Road Frame,170.14,Black,306.56
255,"LL Road Frame - Black, 58",Road Frames,Components,LL Road Frame,204.63,Black,337.22
256,"LL Road Frame - Black, 60",Road Frames,Components,LL Road Frame,176.20,Black,297.63
257,"LL Road Frame - Black, 60",Road Frames,Components,LL Road Frame,170.14,Black,306.56
258,"LL Road Frame - Black, 60",Road Frames,Components,LL Road Frame,204.63,Black,337.22
259,"LL Road Frame - Black, 62",Road Frames,Components,LL Road Frame,176.20,Black,297.63
260,"LL Road Frame - Black, 62",Road Frames,Components,LL Road Frame,170.14,Black,306.56
261,"LL Road Frame - Black, 62",Road Frames,Components,LL Road Frame,204.63,Black,337.22
262,"LL Road Frame - Red, 44",Road Frames,Components,LL Road Frame,181.49,Red,306.56
263,"LL Road Frame - Red, 44",Road Frames,Components,LL Road Frame,187.16,Red,337.22
264,"LL Road Frame - Red, 48",Road Frames,Components,LL Road Frame,181.49,Red,306.56
265,"LL Road Frame - Red, 48",Road Frames,Components,LL Road Frame,187.16,Red,337.22
266,"LL Road Frame - Red, 52",Road Frames,Components,LL Road Frame,181.49,Red,306.56
