SalesOrderNumber,OrderDate,ProductKey,CustomerKey,SalesTerritoryKey,UnitPrice,OrderQuantity,TotalProductCost,TaxAmt,Freight
SO43697,2018-01-01,310,21768,6,3578.27,1,2171.29,286.26,89.46
SO43698,2018-01-01,346,28389,7,3399.99,1,1912.15,272.00,85.00
SO43699,2018-01-01,346,25863,1,3399.99,1,1912.15,272.00,85.00
SO43700,2018-01-01,336,14501,4,699.10,1,413.15,55.93,17.48
SO43701,2018-01-01,346,11003,9,3399.99,1,1912.15,272.00,85.00
SO43702,2018-01-01,311,27645,4,3578.27,1,2171.29,286.26,89.46
SO43703,2018-01-01,310,16624,9,3578.27,1,2171.29,286.26,89.46
SO43704,2018-01-01,351,11005,9,3374.99,1,1898.09,270.00,84.37
SO43705,2018-01-01,344,11011,9,3399.99,1,1912.15,272.00,85.00
SO43706,2018-01-01,312,27621,4,3578.27,1,2171.29,286.26,89.46
SO43707,2018-01-01,312,27616,4,3578.27,1,2171.29,286.26,89.46
SO43708,2018-01-01,330,20042,10,699.10,1,413.15,55.93,17.48
SO43709,2018-01-01,313,16351,9,3578.27,1,2171.29,286.26,89.46
SO43710,2018-01-01,314,16517,9,3578.27,1,2171.29,286.26,89.46
SO43711,2018-01-01,314,27606,1,3578.27,1,2171.29,286.26,89.46
SO43712,2018-01-01,311,13513,8,3578.27,1,2171.29,286.26,89.46
SO43713,2018-01-02,310,27601,4,3578.27,1,2171.29,286.26,89.46
SO43714,2018-01-02,311,13591,10,3578.27,1,2171.29,286.26,89.46
SO43715,2018-01-02,314,16483,9,3578.27,1,2171.29,286.26,89.46
SO43716,2018-01-02,311,16529,9,3578.27,1,2171.29,286.26,89.46
SO43717,2018-01-02,336,25249,9,699.10,1,413.15,55.93,17.48
SO43718,2018-01-03,311,27668,1,3578.27,1,2171.29,286.26,89.46
SO43719,2018-01-03,312,27612,4,3578.27,1,2171.29,286.26,89.46
SO43720,2018-01-03,311,13264,8,3578.27,1,2171.29,286.26,89.46
SO43721,2018-01-03,310,13590,10,3578.27,1,2171.29,286.26,89.46
SO43722,2018-01-04,312,13581,10,3578.27,1,2171.29,286.26,89.46
SO43723,2018-01-04,332,14520,1,699.10,1,413.15,55.93,17.48
SO43724,2018-01-04,311,16520,9,3578.27,1,2171.29,286.26,89.46
SO43725,2018-01-05,311,13258,8,3578.27,1,2171.29,286.26,89.46
SO43726,2018-01-05,332,14560,4,699.10,1,413.15,55.93,17.48
SO43727,2018-01-05,311,16607,9,3578.27,1,2171.29,286.26,89.46
SO43728,2018-01-06,313,27666,4,3578.27,1,2171.29,286.26,89.46
SO43729,2018-01-06,346,11238,10,3399.99,1,1912.15,272.00,85.00
SO43730,2018-01-06,346,25861,4,3399.99,1,1912.15,272.00,85.00
SO43731,2018-01-06,314,16629,9,3578.27,1,2171.29,286.26,89.46
SO43732,2018-01-06,350,11025,9,3374.99,1,1898.09,270.00,84.37
SO43733,2018-01-06,312,27577,1,3578.27,1,2171.29,286.26,89.46
SO43734,2018-01-07,312,27604,1,3578.27,1,2171.29,286.26,89.46
SO43735,2018-01-07,310,16522,9,3578.27,1,2171.29,286.26,89.46
SO43736,2018-01-07,346,11002,9,3399.99,1,1912.15,272.00,85.00
SO43737,2018-01-08,311,13261,8,3578.27,1,2171.29,286.26,89.46
SO43738,2018-01-08,312,11606,7,3578.27,1,2171.29,286.26,89.46
SO43739,2018-01-08,310,13563,10,3578.27,1,2171.29,286.26,89.46
SO43740,2018-01-08,312,16527,9,3578.27,1,2171.29,286.26,89.46
SO43741,2018-01-09,310,27671,1,3578.27,1,2171.29,286.26,89.46
SO43742,2018-01-09,314,13576,10,3578.27,1,2171.29,286.26,89.46
SO43743,2018-01-09,347,11007,9,3399.99,1,1912.15,272.00,85.00
SO43744,2018-01-09,313,16631,9,3578.27,1,2171.29,286.26,89.46
SO43745,2018-01-10,311,16514,9,3578.27,1,2171.29,286.26,89.46
SO43746,2018-01-10,312,16616,9,3578.27,1,2171.29,286.26,89.46
SO43747,2018-01-11,314,27623,4,3578.27,1,2171.29,286.26,89.46
SO43748,2018-01-11,313,27625,1,3578.27,1,2171.29,286.26,89.46
SO43749,2018-01-11,314,27636,1,3578.27,1,2171.29,286.26,89.46
SO43750,2018-01-11,311,11591,7,3578.27,1,2171.29,286.26,89.46
SO43751,2018-01-11,313,11592,7,3578.27,1,2171.29,286.26,89.46
SO43752,2018-01-11,311,13265,8,3578.27,1,2171.29,286.26,89.46
SO43753,2018-01-11,310,16482,9,3578.27,1,2171.29,286.26,89.46
SO43754,2018-01-12,312,27617,1,3578.27,1,2171.29,286.26,89.46
